CANNOT chose from супоръ	 to 	супои, сугръ	 distance == 2
CANNOT chose from измѣтати	 to 	извѣщати, измерети, заметати, изрѣзати, вметати, сметати, измѣнити, изѣхати, отмѣтати, выметати, измѣняти, метати, омѣтати, пометати	 distance == 2
CANNOT chose from премилостивый	 to 	немилостивый, всемилостивый	 distance == 2
CANNOT chose from гробный	 to 	громный, грозный	 distance == 1
CANNOT chose from планъ	 to 	платъ, уланъ	 distance == 1
CANNOT chose from проглядати	 to 	оглядати, розглядати, поглядѣти	 distance == 2
CANNOT chose from думница	 to 	драница, десница, темница, денница	 distance == 2
CANNOT chose from обещствовати	 to 	оземствовати, бѣдствовати	 distance == 2
CANNOT chose from взлѣтати	 to 	взлежати, взлетѣти	 distance == 1
CANNOT chose from нанизати	 to 	навязати, наказати, начинати, назидати, напитати, написати, нарицати, назирати	 distance == 2
CANNOT chose from сумный	 to 	сурный, судный, умный	 distance == 1
CANNOT chose from вырѣзывати	 to 	вызывати, вывѣдывати, вырѣзати	 distance == 2
CANNOT chose from вила	 to 	сила, жила, вина, висла, вира	 distance == 1
CANNOT chose from склонити	 to 	всклонити, уклонити	 distance == 1
CANNOT chose from слогъ	 to 	слонъ, стогъ	 distance == 1
CANNOT chose from пѣшь	 to 	пѣший, нашь	 distance == 2
CANNOT chose from камяный	 to 	каменный, окаяный	 distance == 2
CANNOT chose from поборникъ	 to 	побѣдникъ, полонникъ, покоиникъ, помощникъ, повозникъ	 distance == 2
CANNOT chose from перележати	 to 	прилежати, переложити	 distance == 2
CANNOT chose from кротъ	 to 	критъ, кратъ	 distance == 1
CANNOT chose from погадати	 to 	погашати, догадати	 distance == 1
CANNOT chose from поворотити	 to 	опроворотити, воротити, попортити	 distance == 2
CANNOT chose from герцикъ	 to 	мѣрникъ, терликъ	 distance == 2
CANNOT chose from язина	 to 	ясинъ, вина, таина, двина, спина, длина, мина, орина, глина, ужина, язвно, ирина, ятинъ, язва, воина, зима	 distance == 2
CANNOT chose from прадѣдний	 to 	праведный, прѣдний	 distance == 2
CANNOT chose from излѣчение	 to 	извѣщение, испечение, измѣнение	 distance == 2
CANNOT chose from силъ	 to 	сила, солъ	 distance == 1
CANNOT chose from встѣкати	 to 	истекати, встенати	 distance == 1
CANNOT chose from лгание	 to 	сцание, спание, срание, алкание, ругание, тщание	 distance == 2
CANNOT chose from басты	 to 	часть, башта	 distance == 2
CANNOT chose from придѣлити	 to 	прилѣпити, подѣлити, примѣрити, прѣселити, присѣтити, привалити	 distance == 2
CANNOT chose from соса	 to 	сосна, соска, коса, роса	 distance == 1
CANNOT chose from надждити	 to 	одждити, нажити, нарядити, нацидити, надѣлити, наводити, навадити, находити, насадити	 distance == 2
CANNOT chose from обстати	 to 	остати, отстати, обитати	 distance == 1
CANNOT chose from быковъ	 to 	бутовъ, юшковъ	 distance == 2
CANNOT chose from сбытися	 to 	сбыти, скрытися	 distance == 2
CANNOT chose from каяла	 to 	калъ, кашка, каша, кабала, капля, скала, камка	 distance == 2
CANNOT chose from ѣдати	 to 	дати, ждати, здати, удати, вѣдати, вдати, ѣхати	 distance == 1
CANNOT chose from колие	 to 	колце, копие	 distance == 1
CANNOT chose from еюпетский	 to 	егупетский, египетский	 distance == 2
CANNOT chose from родимый	 to 	родный, видимый, уродивый, юродивый	 distance == 2
CANNOT chose from аркадъ	 to 	градъ, аркадия, аранъ, алвадъ	 distance == 2
CANNOT chose from нянко	 to 	ляшко, вятко, янка, синко	 distance == 2
CANNOT chose from акимъ	 to 	гримъ, скима, радимъ, адамъ, наимъ, китъ, киръ, симъ, заимъ, анфимъ, максимъ, асиръ, римъ	 distance == 2
CANNOT chose from обчий	 to 	отчий, общий	 distance == 1
CANNOT chose from праща	 to 	правда, трава, раба, рана, пуща, плаха, паша, папа, прыщь, брада, рака, пища, прахъ, арака, врата, брага, управа	 distance == 2
CANNOT chose from отягчити	 to 	отлучити, отсочити	 distance == 2
CANNOT chose from авва	 to 	дѣва, аепа, евга, лавка, тава, анна, овца, нива, язва, сава	 distance == 2
CANNOT chose from тынець	 to 	вѣнець, агнець, унець, талець, конець, птенець, гонець	 distance == 2
CANNOT chose from варъ	 to 	варя, воръ	 distance == 1
CANNOT chose from роставляти	 to 	поставляти, оставляти	 distance == 1
CANNOT chose from гамалъ	 to 	дамасъ, гомолъ, шамахъ, малъ, началъ, ваалъ	 distance == 2
CANNOT chose from снести	 to 	сѣсти, нести, свести, внести	 distance == 1
CANNOT chose from поповский	 to 	поволский, оковский, полотский	 distance == 2
CANNOT chose from воронаи	 to 	воронъ, ворота, борона, воронграи	 distance == 2
CANNOT chose from поение	 to 	пѣние, пощение	 distance == 1
CANNOT chose from плачный	 to 	облачный, полатный, плачевный	 distance == 2
CANNOT chose from порещи	 to 	пожещи, потещи, поречи	 distance == 1
CANNOT chose from повѣшати	 to 	поветшати, помѣшати, повѣвати, повѣдати	 distance == 1
CANNOT chose from корванъ	 to 	боранъ, хорватъ	 distance == 2
CANNOT chose from куча	 to 	луча, купа, куна	 distance == 1
CANNOT chose from доволъ	 to 	волъ, дворъ	 distance == 2
CANNOT chose from жадание	 to 	шатание, назание, рыдание, сѣдание, отдание, вздание, желание, зидание, падение	 distance == 2
CANNOT chose from онания	 to 	ония, олвания	 distance == 2
CANNOT chose from ашикъ	 to 	крикъ, аршинъ, ликъ, асиръ, шихъ	 distance == 2
CANNOT chose from невходный	 to 	негодный, неплодный, неугодный	 distance == 2
CANNOT chose from наскакати	 to 	наказати, выскакати, расказати, наставати, отскакати, накапати, скакати, наслажати	 distance == 2
CANNOT chose from багоръ	 to 	боръ, батогъ, базаръ, зазоръ, нахоръ	 distance == 2
CANNOT chose from дрють	 to 	дрожь, треть, рать	 distance == 2
CANNOT chose from пакоръ	 to 	пашковъ, поконъ, покормъ, саковъ, лакотъ, позоръ, зазоръ, нахоръ, законъ, укоръ	 distance == 2
CANNOT chose from данный	 to 	банный, ранный	 distance == 1
CANNOT chose from силилъ	 to 	кирилъ, филипъ, сиринъ	 distance == 2
CANNOT chose from осийнъ	 to 	сионъ, осий	 distance == 2
CANNOT chose from вязити	 to 	вязати, возити, взити	 distance == 1
CANNOT chose from исторгати	 to 	поторгати, исторгнути, торгати	 distance == 2
CANNOT chose from посагнути	 to 	побѣгнути, постигнути, посякнути, потягнути	 distance == 2
CANNOT chose from лѣнивъ	 to 	лѣнивый, леоновъ	 distance == 2
CANNOT chose from иеронъ	 to 	неронъ, меронъ	 distance == 1
CANNOT chose from сменъ	 to 	стѣнъ, смѣхъ	 distance == 1
CANNOT chose from ристание	 to 	растение, писание, пристанище, встание, блистание, роптание	 distance == 2
CANNOT chose from поминание	 to 	пошибание, почитание, поливание, познание, почивание	 distance == 2
CANNOT chose from протягнути	 to 	протянути, потягнути	 distance == 1
CANNOT chose from община	 to 	обида, обринъ, одрина, орина, отчина, гобина, осмина	 distance == 2
CANNOT chose from повлачати	 to 	покладати, поплакати, полагати, облачати	 distance == 2
CANNOT chose from извѣдѣти	 to 	извѣщати, измерети, изводити, невѣдѣти, вѣдѣти, повѣдѣти, свѣдѣти, извѣсити, увѣдѣти, изодѣти, извести	 distance == 2
CANNOT chose from заблудити	 to 	отблудити, сблудити, блудити	 distance == 2
CANNOT chose from написание	 to 	писание, списание, начинание	 distance == 2
CANNOT chose from посивъ	 to 	иосифъ, посулъ, поставъ, посохъ, постъ, посолъ, посѣтъ, осипъ, попинъ, хоривъ	 distance == 2
CANNOT chose from обуявити	 to 	обновити, обуяти, обрядити, обавити	 distance == 2
CANNOT chose from потопляти	 to 	потопити, потоптати, пособляти	 distance == 2
CANNOT chose from торопець	 to 	топорець, туровець, торговець, городець	 distance == 2
CANNOT chose from размѣтати	 to 	заметати, размѣрити, изметати, размѣсити, разумѣвати, разѣвати	 distance == 2
CANNOT chose from утѣшивати	 to 	утѣшати, утѣшити	 distance == 2
CANNOT chose from акридъ	 to 	крикъ, критъ	 distance == 2
